,TypeVendeur,année,codepostal,cote_affinée,email,kilometrage,lien,modele,prix_neuf,prix_vente,telephone,type
326,Pro Véhicules,2014,"Noisiel 77186
                ",10205,NA,29306,https://www.leboncoin.fr/voitures/1182420995.htm?ca=12_s,Zoe,23900,10900,A prendre plus tard,zen
327,Pro Véhicules,2016,"Pantin 93500
                ",14664,NA,6400,https://www.leboncoin.fr/voitures/1182361545.htm?ca=12_s,Zoe,23900,12999,A prendre plus tard,zen
328,Pro Véhicules,2016,"Paris 75015
                ",12479,NA,100,https://www.leboncoin.fr/voitures/1138649404.htm?ca=12_s,Zoe,23900,11690,A prendre plus tard,zen
329,Pro Véhicules,2014,"Persan 95340
                ",10376,NA,20205,https://www.leboncoin.fr/voitures/1180933261.htm?ca=12_s,Zoe,23900,10490,A prendre plus tard,zen
330,Pro Véhicules,2016,"Chelles 77500
                ",11826,NA,1410,https://www.leboncoin.fr/voitures/1089980725.htm?ca=12_s,Zoe,22600,13990,A prendre plus tard,life
331,Pro Véhicules,2016,"Paris 75008
                ",12203,NA,15000,https://www.leboncoin.fr/voitures/1159162168.htm?ca=12_s,Zoe,24600,14100,A prendre plus tard,intens
332,Pro Véhicules,2014,"Arles 13200
                ",11772,NA,25333,https://www.leboncoin.fr/voitures/1307026601.htm?ca=21_s,Zoe,22600,9490,A prendre plus tard,life
333,Pro Véhicules,2016,"Vitrolles 13127
                ",11754,NA,7911,https://www.leboncoin.fr/voitures/1306026512.htm?ca=21_s,Zoe,22600,10990,A prendre plus tard,life
334,Pro Véhicules,2015,"Carpentras 84200
                ",10138,NA,820,https://www.leboncoin.fr/voitures/1167913928.htm?ca=21_s,Zoe,22600,10700,A prendre plus tard,life
335,Pro Véhicules,2015,"Cannes 06400
                ",12034,NA,16133,https://www.leboncoin.fr/voitures/1303278974.htm?ca=21_s,Zoe,24600,11590,A prendre plus tard,intens
336,Pro Véhicules,2014,"Cannes 06400
                ",10338,NA,27158,https://www.leboncoin.fr/voitures/1303279043.htm?ca=21_s,Zoe,23900,9390,A prendre plus tard,zen
337,Pro Véhicules,2014,"La Seyne-sur-Mer 83500
                ",9198,NA,51657,https://www.leboncoin.fr/voitures/1165215533.htm?ca=21_s,Zoe,23900,8900,A prendre plus tard,zen
338,Pro Véhicules,2016,"Vitrolles 13127
                ",11994,NA,7911,https://www.leboncoin.fr/voitures/1186627191.htm?ca=21_s,Zoe,22600,10990,A prendre plus tard,life
339,Pro Véhicules,2013,"Aubagne 13400
                ",8728,NA,41535,https://www.leboncoin.fr/voitures/1179055312.htm?ca=21_s,Zoe,23900,7500,A prendre plus tard,zen
340,Pro Véhicules,2016,"Vitrolles 13127
                ",12040,NA,5500,https://www.leboncoin.fr/voitures/1183135194.htm?ca=21_s,Zoe,22600,11999,A prendre plus tard,life
341,particulier,2013,"Ventabren 13122
                ",8284,NA,76000,https://www.leboncoin.fr/voitures/1183108008.htm?ca=21_s,Zoe,24600,7500,A prendre plus tard,intens
342,Pro Véhicules,2013,"Salon-de-Provence 13300
                ",8486,NA,57314,https://www.leboncoin.fr/voitures/1182375223.htm?ca=21_s,Zoe,23900,7900,A prendre plus tard,zen
343,Pro Véhicules,2015,"Bruges 33520
                ",10110,NA,6791,https://www.leboncoin.fr/voitures/1073147421.htm?ca=2_s,Zoe,22600,9490,A prendre plus tard,life
344,particulier,2015,"Bayonne 64100
                ",9234,NA,30000,https://www.leboncoin.fr/voitures/1186949629.htm?ca=2_s,Zoe,22600,14000,A prendre plus tard,life
345,Pro Véhicules,2016,"Mont-de-Marsan 40000
                ",11804,NA,5145,https://www.leboncoin.fr/voitures/1184970315.htm?ca=2_s,Zoe,22600,12989,A prendre plus tard,life
346,Pro Véhicules,2016,"Pessac 33600
                ",11830,NA,10,https://www.leboncoin.fr/voitures/1185361086.htm?ca=2_s,Zoe,22600,12990,A prendre plus tard,life
347,Pro Véhicules,2016,"Bruges 33520
                ",11819,NA,3000,https://www.leboncoin.fr/voitures/1110866374.htm?ca=2_s,Zoe,22600,13500,A prendre plus tard,life
348,Pro Véhicules,2015,"Bruges 33520
                ",9853,NA,17611,https://www.leboncoin.fr/voitures/1137265504.htm?ca=2_s,Zoe,22600,9500,A prendre plus tard,life
349,particulier,2016,"Gujan-Mestras 33470
                ",11025,NA,32000,https://www.leboncoin.fr/voitures/1182673574.htm?ca=2_s,Zoe,22600,9500,A prendre plus tard,life
350,particulier,2013,"Créon 33670
                ",8768,NA,46300,https://www.leboncoin.fr/voitures/1182279226.htm?ca=2_s,Zoe,23900,8200,A prendre plus tard,NA
